,,,,,,,,화약,,뇌관,,암석분류,,암석명,,심발공,,,,
0,20.59452934,-1.33845109,0.213315639,0,0,0,9,1,,,,,,,,,,,,
0,48.47660956,-1.510879776,0.217007997,0,0,0,10,1,,,,,,,,,,,,
0,58.22085811,-1.529227176,0.335161299,0,0,0,11,1,,,,,,,,,,,,
0,4.227089503,-0.757901258,0.975223451,0,0,0,0,2,,,,,,,,,,,,
0,3.23800977,-0.84346446,0.748523528,0,0,1,0,2,,,,,,,,,,,,
0,22.83129052,-1.341313608,0.686266483,0,0,2,0,2,,,,,,,,,,,,
0,4.022118882,-0.759502142,0.982569623,0,0,3,0,2,,,,,,,,,,,,
0,4.227089503,-0.757901258,0.975223451,0,0,0,0,2,,,,,,,,,,,,
0,28.61439023,-1.15886384,0.713720447,0,0,0,1,2,,,,,,,,,,,,
0,45.91077242,-1.378624844,0.605740147,0,0,0,2,2,,,,,,,,,,,,
0,68.84893142,-1.475885679,0.52069862,0,0,0,3,2,,,,,,,,,,,,
0,81.21643863,-1.46950145,0.470733957,0,0,0,4,2,,,,,,,,,,,,
0,55.99288338,-1.364082045,0.48193445,0,0,0,5,2,,,,,,,,,,,,
0,19.89458697,-1.133500298,0.482158116,0,0,0,6,2,,,,,,,,,,,,
0,6.923647533,-0.932862436,0.495768819,0,0,0,7,2,,,,,,,,,,,,
0,6.090626448,-0.900328371,0.571493522,0,0,0,8,2,,,,,,,,,,,,
0,8.543047049,-0.964786086,0.597825858,0,0,0,9,2,,,,,,,,,,,,
0,7.370685544,-0.909427929,0.764287737,0,0,0,10,2,,,,,,,,,,,,
0,4.003272305,-0.734991258,0.986735946,0,0,0,11,2,,,,,,,,,,,,
0,44.78405735,-1.410727343,0.376397338,0,0,0,0,3,,,,,,,,,,,,
0,72.23426686,-1.582833507,0.353609794,0,0,1,0,3,,,,,,,,,,,,
0,108.9499742,-1.705886793,0.214843051,0,0,2,0,3,,,,,,,,,,,,
0,26.88082801,-1.268303044,0.405913528,0,0,3,0,3,,,,,,,,,,,,
0,44.78405735,-1.410727343,0.376397338,0,0,0,0,3,,,,,,,,,,,,
0,289.2290547,-1.791954844,0.15295017,0,0,0,1,3,,,,,,,,,,,,
0,283.3880346,-1.898377342,0.143171322,0,0,0,2,3,,,,,,,,,,,,
0,374.7469061,-1.909220207,0.171009635,0,0,0,3,3,,,,,,,,,,,,
0,360.3836353,-1.895205434,0.182799062,0,0,0,4,3,,,,,,,,,,,,
0,231.7342489,-1.778470677,0.229654766,0,0,0,5,3,,,,,,,,,,,,
0,94.0098876,-1.595122639,0.204999909,0,0,0,6,3,,,,,,,,,,,,
0,40.68683931,-1.474678606,0.208686452,0,0,0,7,3,,,,,,,,,,,,
0,64.68660774,-1.555579467,0.33913617,0,0,0,8,3,,,,,,,,,,,,
0,89.08607553,-1.642085573,0.289211492,0,0,0,9,3,,,,,,,,,,,,
0,63.68229029,-1.58360573,0.304509907,0,0,0,10,3,,,,,,,,,,,,
0,29.59308112,-1.403575423,0.39350101,0,0,0,11,3,,,,,,,,,,,,
0,67.30309548,-1.457381552,0.448025503,0,0,0,0,4,,,,,,,,,,,,
0,151.8588132,-1.728857685,0.359862724,0,0,1,0,4,,,,,,,,,,,,
0,143.6969293,-1.727218967,0.293826796,0,0,2,0,4,,,,,,,,,,,,
0,70.10120782,-1.452393093,0.44806175,0,0,3,0,4,,,,,,,,,,,,
0,67.30309548,-1.457381552,0.448025503,0,0,0,0,4,,,,,,,,,,,,
0,272.4943109,-1.785107429,0.257850029,0,0,0,1,4,,,,,,,,,,,,
0,362.7359516,-1.881060706,0.229514033,0,0,0,2,4,,,,,,,,,,,,
0,495.8545666,-1.920246219,0.21775835,0,0,0,3,4,,,,,,,,,,,,
0,507.4683712,-1.926260479,0.207146128,0,0,0,4,4,,,,,,,,,,,,
0,481.5445781,-1.927277291,0.202651594,0,0,0,5,4,,,,,,,,,,,,
0,163.819351,-1.68892293,0.222456424,0,0,0,6,4,,,,,,,,,,,,
0,69.58018421,-1.549322261,0.230829439,0,0,0,7,4,,,,,,,,,,,,
0,81.79995169,-1.590739163,0.316711303,0,0,0,8,4,,,,,,,,,,,,
0,135.7967224,-1.696603814,0.306776336,0,0,0,9,4,,,,,,,,,,,,
0,126.3529824,-1.716947551,0.290266986,0,0,0,10,4,,,,,,,,,,,,
0,65.13918063,-1.579898213,0.358593105,0,0,0,11,4,,,,,,,,,,,,
0,143.7037053,-1.682100294,0.301650599,0,0,0,0,5,,,,,,,,,,,,
0,92.17477994,-1.582633162,0.330109146,0,0,1,0,5,,,,,,,,,,,,
0,135.6937066,-1.683080718,0.297363021,0,0,2,0,5,,,,,,,,,,,,
0,177.3274337,-1.699792567,0.333228397,0,0,3,0,5,,,,,,,,,,,,
0,143.7037053,-1.682100294,0.301650599,0,0,0,0,5,,,,,,,,,,,,
0,307.6622318,-1.859602095,0.258388376,0,0,0,1,5,,,,,,,,,,,,
0,475.2881527,-1.899602863,0.263009834,0,0,0,2,5,,,,,,,,,,,,
0,568.3539166,-1.92014163,0.260493621,0,0,0,3,5,,,,,,,,,,,,
0,626.9852604,-1.954405088,0.239988348,0,0,0,4,5,,,,,,,,,,,,
0,617.0251421,-1.963081913,0.21677164,0,0,0,5,5,,,,,,,,,,,,
0,374.497107,-1.863082494,0.224716507,0,0,0,6,5,,,,,,,,,,,,
0,96.71542811,-1.590669867,0.24838916,0,0,0,7,5,,,,,,,,,,,,
0,82.14883429,-1.54742848,0.324399776,0,0,0,8,5,,,,,,,,,,,,
0,140.1070451,-1.652653676,0.31818536,0,0,0,9,5,,,,,,,,,,,,
0,175.3339138,-1.759199289,0.294079348,0,0,0,10,5,,,,,,,,,,,,
0,124.8390603,-1.71421827,0.31114907,0,0,0,11,5,,,,,,,,,,,,
0,71.647292,-1.5225701,0.337593416,0,0,0,0,6,,,,,,,,,,,,
0,29.8123948,-1.285401004,0.341844188,0,0,1,0,6,,,,,,,,,,,,
0,58.06081723,-1.448873805,0.333052962,0,0,2,0,6,,,,,,,,,,,,
0,148.6195919,-1.6762838,0.309015881,0,0,3,0,6,,,,,,,,,,,,
0,71.647292,-1.5225701,0.337593416,0,0,0,0,6,,,,,,,,,,,,
0,143.7033067,-1.641846457,0.303341138,0,0,0,1,6,,,,,,,,,,,,
0,234.078239,-1.719572009,0.2937061,0,0,0,2,6,,,,,,,,,,,,
0,322.8087567,-1.813243283,0.273652193,0,0,0,3,6,,,,,,,,,,,,
0,420.459283,-1.891251374,0.254022179,0,0,0,4,6,,,,,,,,,,,,
0,451.0197807,-1.913319502,0.233510575,0,0,0,5,6,,,,,,,,,,,,
0,413.6519158,-1.898462389,0.204658845,0,0,0,6,6,,,,,,,,,,,,
0,125.1965052,-1.639021107,0.245297219,0,0,0,7,6,,,,,,,,,,,,
0,29.16026876,-1.284576095,0.340396926,0,0,0,8,6,,,,,,,,,,,,
0,32.00274629,-1.283554984,0.369099515,0,0,0,9,6,,,,,,,,,,,,
0,61.34971316,-1.442401245,0.371213771,0,0,0,10,6,,,,,,,,,,,,
0,82.32173246,-1.567782849,0.369669781,0,0,0,11,6,,,,,,,,,,,,
0,25.72830678,-1.318467082,0.339565069,0,0,0,0,7,,,,,,,,,,,,
0,28.73386618,-1.394119497,0.263915127,0,0,1,0,7,,,,,,,,,,,,
0,12.60938587,-1.200646217,0.378009405,0,0,2,0,7,,,,,,,,,,,,
0,3.257089145,-0.815405679,0.522039851,0,0,3,0,7,,,,,,,,,,,,
0,25.72830678,-1.318467082,0.339565069,0,0,0,0,7,,,,,,,,,,,,
0,70.93837626,-1.489202293,0.270402441,0,0,0,1,7,,,,,,,,,,,,
0,108.3583133,-1.595887358,0.24371632,0,0,0,2,7,,,,,,,,,,,,
0,146.9524748,-1.696075436,0.218563794,0,0,0,3,7,,,,,,,,,,,,
0,196.9701416,-1.794650005,0.195710971,0,0,0,4,7,,,,,,,,,,,,
0,238.7657866,-1.861310148,0.18662887,0,0,0,5,7,,,,,,,,,,,,
0,207.3120468,-1.840350288,0.187496238,0,0,0,6,7,,,,,,,,,,,,
0,113.7745459,-1.710051085,0.18967707,0,0,0,7,7,,,,,,,,,,,,
0,29.12950112,-1.405662983,0.267882018,0,0,0,8,7,,,,,,,,,,,,
0,9.868594703,-1.119386643,0.359228915,0,0,0,9,7,,,,,,,,,,,,
0,4.644591938,-0.900871561,0.460944096,0,0,0,10,7,,,,,,,,,,,,
0,3.308301717,-0.808489358,0.520563467,0,0,0,11,7,,,,,,,,,,,,
0,101.2318515,-1.630242429,0.305860059,0,1,0,0,0,,,,,,,,,,,,
0,81.04698588,-1.585538048,0.306646895,0,1,1,0,0,,,,,,,,,,,,
0,133.5553007,-1.72697137,0.238656422,0,1,2,0,0,,,,,,,,,,,,
0,132.4141934,-1.702654969,0.333827225,0,1,3,0,0,,,,,,,,,,,,
0,101.2318515,-1.630242429,0.305860059,0,1,0,0,0,,,,,,,,,,,,
0,293.9491978,-1.812370262,0.164244653,0,1,0,1,0,,,,,,,,,,,,
0,262.0902952,-1.881432161,0.136962914,0,1,0,2,0,,,,,,,,,,,,
0,284.3350624,-1.944089234,0.145290966,0,1,0,3,0,,,,,,,,,,,,
0,335.6011017,-1.947380505,0.14206318,0,1,0,4,0,,,,,,,,,,,,
0,373.7856157,-1.919599651,0.139255696,0,1,0,5,0,,,,,,,,,,,,
0,212.0576473,-1.754329568,0.145214644,0,1,0,6,0,,,,,,,,,,,,
0,36.85333054,-1.433657353,0.201021535,0,1,0,7,0,,,,,,,,,,,,
0,75.1236594,-1.586218189,0.305988823,0,1,0,8,0,,,,,,,,,,,,
0,138.0592174,-1.740851732,0.21667612,0,1,0,9,0,,,,,,,,,,,,
0,161.4492101,-1.778153158,0.234281362,0,1,0,10,0,,,,,,,,,,,,
0,107.9080567,-1.691406607,0.359564679,0,1,0,11,0,,,,,,,,,,,,
0,113.2751367,-1.675044991,0.197609305,0,1,0,0,1,,,,,,,,,,,,
0,30.62200791,-1.426399594,0.213134095,0,1,1,0,1,,,,,,,,,,,,
0,140.6905623,-1.812265009,0.161679355,0,1,2,0,1,,,,,,,,,,,,
0,402.3036552,-1.991357923,0.159625285,0,1,3,0,1,,,,,,,,,,,,
0,113.2751367,-1.675044991,0.197609305,0,1,0,0,1,,,,,,,,,,,,
0,285.9691257,-1.816552611,0.058594986,0,1,0,1,1,,,,,,,,,,,,
0,274.6939726,-1.881744951,0.053835739,0,1,0,2,1,,,,,,,,,,,,
0,294.0800064,-1.944887565,0.064978064,0,1,0,3,1,,,,,,,,,,,,
0,352.1977129,-1.946415362,0.100781929,0,1,0,4,1,,,,,,,,,,,,
0,351.0867806,-1.881566493,0.127285313,0,1,0,5,1,,,,,,,,,,,,
0,197.0313413,-1.726726977,0.174344851,0,1,0,6,1,,,,,,,,,,,,
0,28.45604554,-1.381556385,0.241507619,0,1,0,7,1,,,,,,,,,,,,
0,28.58107491,-1.416684774,0.219497473,0,1,0,8,1,,,,,,,,,,,,
0,147.2808004,-1.774003717,0.064056796,0,1,0,9,1,,,,,,,,,,,,
0,372.4098612,-1.967452999,0.077210804,0,1,0,10,1,,,,,,,,,,,,
0,382.8239668,-1.984401971,0.157068115,0,1,0,11,1,,,,,,,,,,,,
0,146.3747321,-1.497724462,0.069647753,0,1,0,0,2,,,,,,,,,,,,
0,52.81967561,-1.449919226,0.161799874,0,1,1,0,2,,,,,,,,,,,,
0,80.15910674,-1.615636705,0.097134961,0,1,2,0,2,,,,,,,,,,,,
0,152.0131403,-1.502642804,0.06366781,0,1,3,0,2,,,,,,,,,,,,
0,146.3747321,-1.497724462,0.069647753,0,1,0,0,2,,,,,,,,,,,,
0,255.0274624,-1.662466714,0.020036049,0,1,0,1,2,,,,,,,,,,,,
0,217.7128323,-1.753816589,0.077018688,0,1,0,2,2,,,,,,,,,,,,
0,250.7649065,-1.800008902,0.12216481,0,1,0,3,2,,,,,,,,,,,,
0,300.9976087,-1.806099454,0.153884158,0,1,0,4,2,,,,,,,,,,,,
0,240.4709672,-1.730123814,0.160786782,0,1,0,5,2,,,,,,,,,,,,
0,138.2537337,-1.607458672,0.195904735,0,1,0,6,2,,,,,,,,,,,,
0,25.80870147,-1.268620719,0.293505961,0,1,0,7,2,,,,,,,,,,,,
0,29.0433213,-1.302645295,0.326055275,0,1,0,8,2,,,,,,,,,,,,
0,113.3828936,-1.578059776,0.146205918,0,1,0,9,2,,,,,,,,,,,,
0,175.0326497,-1.588259668,0.066105669,0,1,0,10,2,,,,,,,,,,,,
0,138.0373916,-1.504380834,0.072295262,0,1,0,11,2,,,,,,,,,,,,
0,143.261946,-1.641569272,0.275480594,0,1,0,0,3,,,,,,,,,,,,
0,129.7281958,-1.704000321,0.279524307,0,1,1,0,3,,,,,,,,,,,,
0,78.12017739,-1.659567613,0.17392748,0,1,2,0,3,,,,,,,,,,,,
0,192.2813358,-1.697511268,0.290311713,0,1,3,0,3,,,,,,,,,,,,
0,143.261946,-1.641569272,0.275480594,0,1,0,0,3,,,,,,,,,,,,
0,268.7174243,-1.802080047,0.156092388,0,1,0,1,3,,,,,,,,,,,,
0,262.3687256,-1.881301269,0.143612647,0,1,0,2,3,,,,,,,,,,,,
0,352.1285552,-1.904124931,0.135497219,0,1,0,3,3,,,,,,,,,,,,
0,467.5780443,-1.942696668,0.1380124,0,1,0,4,3,,,,,,,,,,,,
0,463.2665512,-1.926615519,0.132585939,0,1,0,5,3,,,,,,,,,,,,
0,208.6555023,-1.753521387,0.14555403,0,1,0,6,3,,,,,,,,,,,,
0,41.40248329,-1.474484906,0.203322209,0,1,0,7,3,,,,,,,,,,,,
0,111.9021406,-1.691309834,0.280393648,0,1,0,8,3,,,,,,,,,,,,
0,141.6560276,-1.752199602,0.209583412,0,1,0,9,3,,,,,,,,,,,,
0,149.5232146,-1.71949044,0.236820778,0,1,0,10,3,,,,,,,,,,,,
0,89.8474634,-1.600914901,0.336167561,0,1,0,11,3,,,,,,,,,,,,
0,237.2460973,-1.774520956,0.34776633,0,1,0,0,4,,,,,,,,,,,,
0,101.3536187,-1.676265743,0.290974643,0,1,1,0,4,,,,,,,,,,,,
0,137.918062,-1.75019494,0.248412745,0,1,2,0,4,,,,,,,,,,,,
0,90.79534714,-1.580694434,0.365585492,0,1,3,0,4,,,,,,,,,,,,
0,237.2460973,-1.774520956,0.34776633,0,1,0,0,4,,,,,,,,,,,,
0,430.2768794,-1.932349428,0.254598922,0,1,0,1,4,,,,,,,,,,,,
0,527.331496,-1.989870929,0.238588743,0,1,0,2,4,,,,,,,,,,,,
0,638.6397704,-2.00371639,0.222399963,0,1,0,3,4,,,,,,,,,,,,
0,749.8121037,-2.028102986,0.20831238,0,1,0,4,4,,,,,,,,,,,,
0,1014.47931,-2.10993311,0.191330375,0,1,0,5,4,,,,,,,,,,,,
0,543.8908729,-1.971332329,0.164811503,0,1,0,6,4,,,,,,,,,,,,
0,91.17030488,-1.634933615,0.232635418,0,1,0,7,4,,,,,,,,,,,,
0,102.975974,-1.663995058,0.299027324,0,1,0,8,4,,,,,,,,,,,,
0,206.4975736,-1.812648228,0.254019175,0,1,0,9,4,,,,,,,,,,,,
0,142.5605638,-1.755096046,0.26640905,0,1,0,10,4,,,,,,,,,,,,
0,77.81796955,-1.631812515,0.347187113,0,1,0,11,4,,,,,,,,,,,,
0,128.825729,-1.688464864,0.307761102,0,1,0,0,5,,,,,,,,,,,,
0,68.40954736,-1.552211748,0.262065025,0,1,1,0,5,,,,,,,,,,,,
0,131.386876,-1.687774991,0.303031139,0,1,2,0,5,,,,,,,,,,,,
0,43.21154886,-1.482745094,0.310746024,0,1,3,0,5,,,,,,,,,,,,
0,128.825729,-1.688464864,0.307761102,0,1,0,0,5,,,,,,,,,,,,
0,314.5449084,-1.855815198,0.270852923,0,1,0,1,5,,,,,,,,,,,,
0,513.7207451,-1.936331198,0.261722577,0,1,0,2,5,,,,,,,,,,,,
0,795.1301078,-2.021406318,0.259777454,0,1,0,3,5,,,,,,,,,,,,
0,1169.99472,-2.105392321,0.256369081,0,1,0,4,5,,,,,,,,,,,,
0,1286.744982,-2.137682032,0.241565773,0,1,0,5,5,,,,,,,,,,,,
0,1151.639746,-2.116936354,0.213490617,0,1,0,6,5,,,,,,,,,,,,
0,120.6448919,-1.63167322,0.228337534,0,1,0,7,5,,,,,,,,,,,,
0,63.97313179,-1.498830893,0.319802993,0,1,0,8,5,,,,,,,,,,,,
0,141.8387721,-1.672116693,0.256679728,0,1,0,9,5,,,,,,,,,,,,
0,105.7664417,-1.683554496,0.225329601,0,1,0,10,5,,,,,,,,,,,,
0,54.775916,-1.570628757,0.286029494,0,1,0,11,5,,,,,,,,,,,,
0,21.11839188,-1.247201309,0.366508158,0,1,0,0,6,,,,,,,,,,,,
0,58.52781447,-1.410386764,0.294709387,0,1,1,0,6,,,,,,,,,,,,
0,65.81186182,-1.452820595,0.274239507,0,1,2,0,6,,,,,,,,,,,,
0,29.73959967,-1.407147084,0.263312148,0,1,3,0,6,,,,,,,,,,,,
0,21.11839188,-1.247201309,0.366508158,0,1,0,0,6,,,,,,,,,,,,
0,85.80381506,-1.431065921,0.337860867,0,1,0,1,6,,,,,,,,,,,,
0,200.5900575,-1.627798814,0.33237213,0,1,0,2,6,,,,,,,,,,,,
0,402.8704743,-1.819757155,0.319306694,0,1,0,3,6,,,,,,,,,,,,
0,622.4605703,-1.941724646,0.300269294,0,1,0,4,6,,,,,,,,,,,,
0,832.3484102,-2.013631242,0.278210697,0,1,0,5,6,,,,,,,,,,,,
0,961.2121629,-2.048128345,0.267616127,0,1,0,6,6,,,,,,,,,,,,
0,292.9374829,-1.783423178,0.24436011,0,1,0,7,6,,,,,,,,,,,,
0,55.3705049,-1.399987113,0.297776343,0,1,0,8,6,,,,,,,,,,,,
0,79.07907664,-1.483704569,0.232155741,0,1,0,9,6,,,,,,,,,,,,
0,59.26565127,-1.445225305,0.213057758,0,1,0,10,6,,,,,,,,,,,,
0,31.78649872,-1.394288731,0.265687583,0,1,0,11,6,,,,,,,,,,,,
0,159.2597749,-1.446482406,0.271749354,0,1,0,0,7,,,,,,,,,,,,
0,125.135194,-1.443046915,0.227326723,0,1,1,0,7,,,,,,,,,,,,
0,170.0255702,-1.551080068,0.215293549,0,1,2,0,7,,,,,,,,,,,,
0,161.1612532,-1.454946769,0.270195058,0,1,3,0,7,,,,,,,,,,,,
0,159.2597749,-1.446482406,0.271749354,0,1,0,0,7,,,,,,,,,,,,
0,272.6140597,-1.570578768,0.253408187,0,1,0,1,7,,,,,,,,,,,,
0,375.3923325,-1.660558863,0.247028849,0,1,0,2,7,,,,,,,,,,,,
0,519.3720549,-1.755149122,0.246736738,0,1,0,3,7,,,,,,,,,,,,
0,688.523543,-1.848756612,0.228647136,0,1,0,4,7,,,,,,,,,,,,
0,892.4161822,-1.93595732,0.208945261,0,1,0,5,7,,,,,,,,,,,,
0,1037.787633,-1.987557698,0.200251322,0,1,0,6,7,,,,,,,,,,,,
0,849.0731726,-1.950313609,0.176302223,0,1,0,7,7,,,,,,,,,,,,
0,310.8066458,-1.723135188,0.182317132,0,1,0,8,7,,,,,,,,,,,,
0,174.7734918,-1.56008813,0.19666429,0,1,0,9,7,,,,,,,,,,,,
0,218.4503232,-1.578564039,0.194288766,0,1,0,10,7,,,,,,,,,,,,
0,146.0075982,-1.466851861,0.265637231,0,1,0,11,7,,,,,,,,,,,,
0,10.73710267,-1.07231314,0.489858219,0,2,0,0,0,,,,,,,,,,,,
0,3.168646147,-0.767797818,0.608072739,0,2,1,0,0,,,,,,,,,,,,
0,225.5187263,-1.782262576,0.239709737,0,2,2,0,0,,,,,,,,,,,,
0,11.01366136,-1.085080505,0.47900889,0,2,3,0,0,,,,,,,,,,,,
0,10.73710267,-1.07231314,0.489858219,0,2,0,0,0,,,,,,,,,,,,
0,20.94110259,-1.250921958,0.408710088,0,2,0,1,0,,,,,,,,,,,,
0,39.37521146,-1.43968365,0.355677203,0,2,0,2,0,,,,,,,,,,,,
0,86.11004234,-1.60318553,0.306539891,0,2,0,3,0,,,,,,,,,,,,
0,171.1550236,-1.736480959,0.276146351,0,2,0,4,0,,,,,,,,,,,,
0,241.0137164,-1.776224006,0.238297323,0,2,0,5,0,,,,,,,,,,,,
0,165.3268207,-1.664720303,0.228001402,0,2,0,6,0,,,,,,,,,,,,
0,12.76804988,-1.097195556,0.43006895,0,2,0,7,0,,,,,,,,,,,,
0,1.96345385,-0.64495371,0.654225188,0,2,0,8,0,,,,,,,,,,,,
0,23.32899789,-1.201834608,0.275877486,0,2,0,9,0,,,,,,,,,,,,
0,12.74479631,-1.111627122,0.342000248,0,2,0,10,0,,,,,,,,,,,,
0,5.775731562,-0.965065146,0.542192517,0,2,0,11,0,,,,,,,,,,,,
0,19.96588829,-1.255342369,0.371495179,0,2,0,0,1,,,,,,,,,,,,
0,0.784698082,-0.542811819,0.436027721,0,2,1,0,1,,,,,,,,,,,,
0,157.4519894,-1.732918209,0.229716557,0,2,2,0,1,,,,,,,,,,,,
0,41.40898369,-1.411226837,0.321762897,0,2,3,0,1,,,,,,,,,,,,
0,19.96588829,-1.255342369,0.371495179,0,2,0,0,1,,,,,,,,,,,,
0,49.25874416,-1.465781113,0.292425145,0,2,0,1,1,,,,,,,,,,,,
0,78.55788686,-1.626181905,0.255692106,0,2,0,2,1,,,,,,,,,,,,
0,188.8168086,-1.804313585,0.227460537,0,2,0,3,1,,,,,,,,,,,,
0,475.1199651,-1.976936597,0.176618038,0,2,0,4,1,,,,,,,,,,,,
0,810.7687283,-2.038120473,0.157199323,0,2,0,5,1,,,,,,,,,,,,
0,648.3162224,-1.956251968,0.173920148,0,2,0,6,1,,,,,,,,,,,,
0,20.54053852,-1.23653229,0.309538622,0,2,0,7,1,,,,,,,,,,,,
0,0.743052367,-0.52513002,0.450763379,0,2,0,8,1,,,,,,,,,,,,
0,12.6891421,-1.162515857,0.204864506,0,2,0,9,1,,,,,,,,,,,,
0,24.87208994,-1.322340393,0.225883451,0,2,0,10,1,,,,,,,,,,,,
0,21.09118303,-1.283288509,0.33319265,0,2,0,11,1,,,,,,,,,,,,
0,9.568134101,-0.980801574,0.942906254,0,2,0,0,2,,,,,,,,,,,,
0,0.745028005,-0.445529487,0.721931602,0,2,1,0,2,,,,,,,,,,,,
0,114.5404986,-1.633665101,0.488974863,0,2,2,0,2,,,,,,,,,,,,
0,9.819228653,-0.981185067,0.941256614,0,2,3,0,2,,,,,,,,,,,,
0,9.568134101,-0.980801574,0.942906254,0,2,0,0,2,,,,,,,,,,,,
0,36.1710625,-1.270157505,0.743171917,0,2,0,1,2,,,,,,,,,,,,
0,94.84802549,-1.552423896,0.60570705,0,2,0,2,2,,,,,,,,,,,,
0,244.5867651,-1.775863846,0.475044326,0,2,0,3,2,,,,,,,,,,,,
0,512.5280494,-1.93165549,0.393678801,0,2,0,4,2,,,,,,,,,,,,
0,713.783054,-1.983203105,0.327624146,0,2,0,5,2,,,,,,,,,,,,
0,378.2500987,-1.838957097,0.320600046,0,2,0,6,2,,,,,,,,,,,,
0,16.27970318,-1.123324365,0.539535321,0,2,0,7,2,,,,,,,,,,,,
0,0.891597797,-0.472327102,0.731522089,0,2,0,8,2,,,,,,,,,,,,
0,12.74595586,-1.057268501,0.5080506,0,2,0,9,2,,,,,,,,,,,,
0,13.62565289,-1.070196267,0.686200113,0,2,0,10,2,,,,,,,,,,,,
0,9.138542552,-0.961478947,0.941258087,0,2,0,11,2,,,,,,,,,,,,
0,12.21036421,-1.103387101,0.450672276,0,2,0,0,3,,,,,,,,,,,,
0,1.281610183,-0.500594905,0.646659531,0,2,1,0,3,,,,,,,,,,,,
0,234.6456069,-1.78195772,0.229713244,0,2,2,0,3,,,,,,,,,,,,
0,14.26368521,-1.141189077,0.36159057,0,2,3,0,3,,,,,,,,,,,,
0,12.21036421,-1.103387101,0.450672276,0,2,0,0,3,,,,,,,,,,,,
0,46.18381669,-1.387818438,0.366054142,0,2,0,1,3,,,,,,,,,,,,
0,137.8063272,-1.664031016,0.311125573,0,2,0,2,3,,,,,,,,,,,,
0,260.6766829,-1.807566202,0.236287893,0,2,0,3,3,,,,,,,,,,,,
